
                 country |      Freq.     Percent        Cum.
-------------------------+-----------------------------------
             Afghanistan |          6        0.60        0.60
                 Albania |          6        0.60        1.20
                 Algeria |          6        0.60        1.80
                  Angola |          6        0.60        2.40
               Argentina |          6        0.60        2.99
                 Armenia |          6        0.60        3.59
               Australia |          6        0.60        4.19
                 Austria |          6        0.60        4.79
              Azerbaijan |          6        0.60        5.39
                 Bahrain |          6        0.60        5.99
              Bangladesh |          6        0.60        6.59
                 Belarus |          6        0.60        7.19
                 Belgium |          6        0.60        7.78
                   Benin |          6        0.60        8.38
                  Bhutan |          6        0.60        8.98
                 Bolivia |          6        0.60        9.58
                  Bosnia |          6        0.60       10.18
                Botswana |          6        0.60       10.78
                  Brazil |          6        0.60       11.38
                Bulgaria |          6        0.60       11.98
            Burkina Faso |          6        0.60       12.57
                 Burundi |          6        0.60       13.17
                Cambodia |          6        0.60       13.77
                Cameroon |          6        0.60       14.37
                  Canada |          6        0.60       14.97
              Cape Verde |          6        0.60       15.57
Central African Republic |          6        0.60       16.17
                    Chad |          6        0.60       16.77
                   Chile |          6        0.60       17.37
                   China |          6        0.60       17.96
                Colombia |          6        0.60       18.56
                 Comoros |          6        0.60       19.16
       Congo Brazzaville |          6        0.60       19.76
          Congo Kinshasa |          6        0.60       20.36
              Costa Rica |          6        0.60       20.96
           Cote D'Ivoire |          2        0.20       21.16
                 Croatia |          6        0.60       21.76
                    Cuba |          6        0.60       22.36
                  Cyprus |          6        0.60       22.95
          Czech Republic |          6        0.60       23.55
                 Denmark |          6        0.60       24.15
                Djibouti |          6        0.60       24.75
      Dominican Republic |          6        0.60       25.35
              East Timor |          4        0.40       25.75
                 Ecuador |          6        0.60       26.35
                   Egypt |          6        0.60       26.95
             El Salvador |          6        0.60       27.54
       Equatorial Guinea |          6        0.60       28.14
                 Eritrea |          6        0.60       28.74
                 Estonia |          6        0.60       29.34
                Ethiopia |          6        0.60       29.94
                    Fiji |          6        0.60       30.54
                 Finland |          6        0.60       31.14
                  France |          6        0.60       31.74
                   Gabon |          6        0.60       32.34
                  Gambia |          6        0.60       32.93
                 Georgia |          6        0.60       33.53
                 Germany |          6        0.60       34.13
                   Ghana |          6        0.60       34.73
                  Greece |          6        0.60       35.33
               Guatemala |          6        0.60       35.93
                  Guinea |          6        0.60       36.53
           Guinea-Bissau |          6        0.60       37.13
                  Guyana |          6        0.60       37.72
                   Haiti |          6        0.60       38.32
                Honduras |          6        0.60       38.92
                 Hungary |          6        0.60       39.52
                   India |          6        0.60       40.12
               Indonesia |          6        0.60       40.72
                    Iran |          6        0.60       41.32
                    Iraq |          6        0.60       41.92
                 Ireland |          6        0.60       42.51
                  Israel |          6        0.60       43.11
                   Italy |          6        0.60       43.71
             Ivory Coast |          4        0.40       44.11
                 Jamaica |          6        0.60       44.71
