GeoAreaName |      Freq.     Percent        Cum.
----------------------------------------+-----------------------------------
                            Afghanistan |          1        0.34        0.34
                                 Africa |          1        0.34        0.68
                                Albania |          1        0.34        1.02
                                Algeria |          1        0.34        1.36
                         American Samoa |          1        0.34        1.69
                               Americas |          1        0.34        2.03
                                Andorra |          1        0.34        2.37
                                 Angola |          1        0.34        2.71
                               Anguilla |          1        0.34        3.05
                    Antigua and Barbuda |          1        0.34        3.39
                              Argentina |          1        0.34        3.73
                                Armenia |          1        0.34        4.07
                                  Aruba |          1        0.34        4.41
                                   Asia |          1        0.34        4.75
                              Australia |          1        0.34        5.08
              Australia and New Zealand |          1        0.34        5.42
                                Austria |          1        0.34        5.76
                             Azerbaijan |          1        0.34        6.10
                                Bahamas |          1        0.34        6.44
                                Bahrain |          1        0.34        6.78
                             Bangladesh |          1        0.34        7.12
                               Barbados |          1        0.34        7.46
                                Belarus |          1        0.34        7.80
                                Belgium |          1        0.34        8.14
                                 Belize |          1        0.34        8.47
                                  Benin |          1        0.34        8.81
                                Bermuda |          1        0.34        9.15
                                 Bhutan |          1        0.34        9.49
       Bolivia (Plurinational State of) |          1        0.34        9.83
       Bonaire, Sint Eustatius and Saba |          1        0.34       10.17
                 Bosnia and Herzegovina |          1        0.34       10.51
                               Botswana |          1        0.34       10.85
                                 Brazil |          1        0.34       11.19
         British Indian Ocean Territory |          1        0.34       11.53
                 British Virgin Islands |          1        0.34       11.86
                      Brunei Darussalam |          1        0.34       12.20
                               Bulgaria |          1        0.34       12.54
                           Burkina Faso |          1        0.34       12.88
                                Burundi |          1        0.34       13.22
                             Cabo Verde |          1        0.34       13.56
                               Cambodia |          1        0.34       13.90
                               Cameroon |          1        0.34       14.24
                                 Canada |          1        0.34       14.58
                              Caribbean |          1        0.34       14.92
              Caucasus and Central Asia |          1        0.34       15.25
                         Cayman Islands |          1        0.34       15.59
               Central African Republic |          1        0.34       15.93
                        Central America |          1        0.34       16.27
                           Central Asia |          1        0.34       16.61
              Central and Southern Asia |          1        0.34       16.95
                                   Chad |          1        0.34       17.29
                        Channel Islands |          1        0.34       17.63
                                  Chile |          1        0.34       17.97
                                  China |          1        0.34       18.31
China, Hong Kong Special Administrati.. |          1        0.34       18.64
China, Macao Special Administrative R.. |          1        0.34       18.98
                       Christmas Island |          1        0.34       19.32
                Cocos (Keeling) Islands |          1        0.34       19.66
                               Colombia |          1        0.34       20.00
                                Comoros |          1        0.34       20.34
                                  Congo |          1        0.34       20.68
                           Cook Islands |          1        0.34       21.02
                             Costa Rica |          1        0.34       21.36
                                Croatia |          1        0.34       21.69
                                   Cuba |          1        0.34       22.03
                               Curaçao |          1        0.34       22.37
                                 Cyprus |          1        0.34       22.71
                                Czechia |          1        0.34       23.05
                         Côte d'Ivoire |          1        0.34       23.39
  Democratic People's Republic of Korea |          1        0.34       23.73
       Democratic Republic of the Congo |          1        0.34       24.07
                                Denmark |          1        0.34       24.41
Developed regions (Europe, Cyprus, Is.. |          1        0.34       24.75
                     Developing regions |          1        0.34       25.08
                               Djibouti |          1        0.34       25.42
                               Dominica |          1        0.34       25.76
                     Dominican Republic |          1        0.34       26.10
                         Eastern Africa |          1        0.34       26.44
                           Eastern Asia |          1        0.34       26.78
Eastern Asia (excluding Japan and Chi.. |          1        0.34       27.12
         Eastern Asia (excluding Japan) |          1        0.34       27.46
                         Eastern Europe |          1        0.34       27.80
         Eastern and South-Eastern Asia |          1        0.34       28.14
                                Ecuador |          1        0.34       28.47
                                  Egypt |          1        0.34       28.81
                            El Salvador |          1        0.34       29.15
                      Equatorial Guinea |          1        0.34       29.49
                                Eritrea |          1        0.34       29.83
                                Estonia |          1        0.34       30.17
                               Eswatini |          1        0.34       30.51
                               Ethiopia |          1        0.34       30.85
                                 Europe |          1        0.34       31.19
            Europe and Northern America |          1        0.34       31.53
            Falkland Islands (Malvinas) |          1        0.34       31.86
                          Faroe Islands |          1        0.34       32.20
                                   Fiji |          1        0.34       32.54
                                Finland |          1        0.34       32.88
                                 France |          1        0.34       33.22
                          French Guiana |          1        0.34       33.56
                       French Polynesia |          1        0.34       33.90
            French Southern Territories |          1        0.34       34.24
                                  Gabon |          1        0.34       34.58
                                 Gambia |          1        0.34       34.92
                                Georgia |          1        0.34       35.25
                                Germany |          1        0.34       35.59
                                  Ghana |          1        0.34       35.93
                              Gibraltar |          1        0.34       36.27
                                 Greece |          1        0.34       36.61
                              Greenland |          1        0.34       36.95
                                Grenada |          1        0.34       37.29
                             Guadeloupe |          1        0.34       37.63
                                   Guam |          1        0.34       37.97
                              Guatemala |          1        0.34       38.31
                               Guernsey |          1        0.34       38.64
                                 Guinea |          1        0.34       38.98
                          Guinea-Bissau |          1        0.34       39.32
                                 Guyana |          1        0.34       39.66
                                  Haiti |          1        0.34       40.00
      Heard Island and McDonald Islands |          1        0.34       40.34
                               Holy See |          1        0.34       40.68
                               Honduras |          1        0.34       41.02
                                Hungary |          1        0.34       41.36
                                Iceland |          1        0.34       41.69
                                  India |          1        0.34       42.03
                              Indonesia |          1        0.34       42.37
             Iran (Islamic Republic of) |          1        0.34       42.71
                                   Iraq |          1        0.34       43.05
                                Ireland |          1        0.34       43.39
                            Isle of Man |          1        0.34       43.73
                                 Israel |          1        0.34       44.07
                                  Italy |          1        0.34       44.41
                                Jamaica |          1        0.34       44.75
                                  Japan |          1        0.34       45.08
                                 Jersey |          1        0.34       45.42
                                 Jordan |          1        0.34       45.76
                             Kazakhstan |          1        0.34       46.10
                                  Kenya |          1        0.34       46.44
                               Kiribati |          1        0.34       46.78
                                 Kosovo |          1        0.34       47.12
                                 Kuwait |          1        0.34       47.46
