Country Name |      Freq.     Percent        Cum.
----------------------------------------+-----------------------------------
                            Afghanistan |          1        0.38        0.38
                                Albania |          1        0.38        0.76
                                Algeria |          1        0.38        1.14
                         American Samoa |          1        0.38        1.52
                                Andorra |          1        0.38        1.89
                                 Angola |          1        0.38        2.27
                    Antigua and Barbuda |          1        0.38        2.65
                             Arab World |          1        0.38        3.03
                              Argentina |          1        0.38        3.41
                                Armenia |          1        0.38        3.79
                                  Aruba |          1        0.38        4.17
                              Australia |          1        0.38        4.55
                                Austria |          1        0.38        4.92
                             Azerbaijan |          1        0.38        5.30
                           Bahamas, The |          1        0.38        5.68
                                Bahrain |          1        0.38        6.06
                             Bangladesh |          1        0.38        6.44
                               Barbados |          1        0.38        6.82
                                Belarus |          1        0.38        7.20
                                Belgium |          1        0.38        7.58
                                 Belize |          1        0.38        7.95
                                  Benin |          1        0.38        8.33
                                Bermuda |          1        0.38        8.71
                                 Bhutan |          1        0.38        9.09
                                Bolivia |          1        0.38        9.47
                 Bosnia and Herzegovina |          1        0.38        9.85
                               Botswana |          1        0.38       10.23
                                 Brazil |          1        0.38       10.61
                 British Virgin Islands |          1        0.38       10.98
                      Brunei Darussalam |          1        0.38       11.36
                               Bulgaria |          1        0.38       11.74
                           Burkina Faso |          1        0.38       12.12
                                Burundi |          1        0.38       12.50
                             Cabo Verde |          1        0.38       12.88
                               Cambodia |          1        0.38       13.26
                               Cameroon |          1        0.38       13.64
                                 Canada |          1        0.38       14.02
                 Caribbean small states |          1        0.38       14.39
                         Cayman Islands |          1        0.38       14.77
               Central African Republic |          1        0.38       15.15
         Central Europe and the Baltics |          1        0.38       15.53
                                   Chad |          1        0.38       15.91
                        Channel Islands |          1        0.38       16.29
                                  Chile |          1        0.38       16.67
                                  China |          1        0.38       17.05
                               Colombia |          1        0.38       17.42
                                Comoros |          1        0.38       17.80
                       Congo, Dem. Rep. |          1        0.38       18.18
                            Congo, Rep. |          1        0.38       18.56
                             Costa Rica |          1        0.38       18.94
                          Cote d'Ivoire |          1        0.38       19.32
                                Croatia |          1        0.38       19.70
                                   Cuba |          1        0.38       20.08
                                Curacao |          1        0.38       20.45
                                 Cyprus |          1        0.38       20.83
                         Czech Republic |          1        0.38       21.21
                                Denmark |          1        0.38       21.59
                               Djibouti |          1        0.38       21.97
                               Dominica |          1        0.38       22.35
                     Dominican Republic |          1        0.38       22.73
             Early-demographic dividend |          1        0.38       23.11
                    East Asia & Pacific |          1        0.38       23.48
East Asia & Pacific (IDA & IBRD count.. |          1        0.38       23.86
East Asia & Pacific (excluding high i.. |          1        0.38       24.24
                                Ecuador |          1        0.38       24.62
                       Egypt, Arab Rep. |          1        0.38       25.00
                            El Salvador |          1        0.38       25.38
                      Equatorial Guinea |          1        0.38       25.76
                                Eritrea |          1        0.38       26.14
                                Estonia |          1        0.38       26.52
                               Eswatini |          1        0.38       26.89
                               Ethiopia |          1        0.38       27.27
                              Euro area |          1        0.38       27.65
                  Europe & Central Asia |          1        0.38       28.03
Europe & Central Asia (IDA & IBRD cou.. |          1        0.38       28.41
Europe & Central Asia (excluding high.. |          1        0.38       28.79
                         European Union |          1        0.38       29.17
                          Faroe Islands |          1        0.38       29.55
                                   Fiji |          1        0.38       29.92
                                Finland |          1        0.38       30.30
Fragile and conflict affected situati.. |          1        0.38       30.68
                                 France |          1        0.38       31.06
                       French Polynesia |          1        0.38       31.44
                                  Gabon |          1        0.38       31.82
                            Gambia, The |          1        0.38       32.20
                                Georgia |          1        0.38       32.58
                                Germany |          1        0.38       32.95
                                  Ghana |          1        0.38       33.33
                              Gibraltar |          1        0.38       33.71
                                 Greece |          1        0.38       34.09
                              Greenland |          1        0.38       34.47
                                Grenada |          1        0.38       34.85
                                   Guam |          1        0.38       35.23
                              Guatemala |          1        0.38       35.61
                                 Guinea |          1        0.38       35.98
                          Guinea-Bissau |          1        0.38       36.36
                                 Guyana |          1        0.38       36.74
                                  Haiti |          1        0.38       37.12
 Heavily indebted poor countries (HIPC) |          1        0.38       37.50
                            High income |          1        0.38       37.88
                               Honduras |          1        0.38       38.26
                   Hong Kong SAR, China |          1        0.38       38.64
                                Hungary |          1        0.38       39.02
                              IBRD only |          1        0.38       39.39
                       IDA & IBRD total |          1        0.38       39.77
                              IDA blend |          1        0.38       40.15
                               IDA only |          1        0.38       40.53
                              IDA total |          1        0.38       40.91
                                Iceland |          1        0.38       41.29
                                  India |          1        0.38       41.67
                              Indonesia |          1        0.38       42.05
                     Iran, Islamic Rep. |          1        0.38       42.42
                                   Iraq |          1        0.38       42.80
                                Ireland |          1        0.38       43.18
                            Isle of Man |          1        0.38       43.56
                                 Israel |          1        0.38       43.94
                                  Italy |          1        0.38       44.32
                                Jamaica |          1        0.38       44.70
                                  Japan |          1        0.38       45.08
                                 Jordan |          1        0.38       45.45
                             Kazakhstan |          1        0.38       45.83
                                  Kenya |          1        0.38       46.21
                               Kiribati |          1        0.38       46.59
